                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2628,                 1.3827,                 1.1508,                 0.9012,                 0.7918,                 0.8747,                 0.5507,                 1.2731,                 1.0525,                 1.2073,             0.00066516,             0.00066516,             0.00066516
                      2,                 1.2977,                0.86256,                 1.1726,                0.75274,                0.76583,                0.76492,                0.46804,                 1.3935,                 1.1618,                 1.2382,              0.0013055,              0.0013055,              0.0013055
